dataset,mode,node_drop_rate,accuracy,std,num_runs,drop_rate,k_neighbors,recovery_ratio,repair_policy,adaptive_threshold_alpha,max_edges_per_recovered_node,texts_per_class,generation_backend,generation_model,synthetic_text_style,ban_dataset_name,max_jaccard_similarity,max_generation_attempts,temperature,top_p,repetition_penalty,no_repeat_ngram_size,max_new_tokens,synthetic_text_path,synthetic_embedding_path,sparse_edges_mean,dropped_nodes_mean,observed_train_nodes_mean,sampled_recovered_nodes_mean,successful_recovered_nodes_mean,train_nodes_mean,recovery_edges_mean,synthetic_word_count_mean,synthetic_word_count_std,synthetic_quality_pass_rate,synthetic_length_ok_rate,synthetic_dataset_leak_rate,synthetic_repeated_ngram_rate,synthetic_max_jaccard_mean
ogbn-arxiv-full,MLP (Raw),0.75,0.5257631738980612,0.0023135066287701313,3,0.0,10,0.0,none,0.0,0,12,hf,models/Qwen3-4B-Instruct-2507,length_matched,True,0.72,3,0.6,0.9,1.15,3,40,embeddings\arxiv_synthetic_text_hf_models_Qwen3-4B-Instruct-2507_n12_length_matched.json,embeddings\arxiv_synthetic_text_hf_models_Qwen3-4B-Instruct-2507_n12_length_matched.pt,382172.0,68205.0,22736.0,0.0,0.0,22736.0,0.0,8.229166666666666,1.8239104434032816,0.575,0.7604166666666666,0.0,0.0,0.5795729690094047
ogbn-arxiv-full,MLP (Raw),0.85,0.5238291422526041,0.0012174901063823176,3,0.0,10,0.0,none,0.0,0,12,hf,models/Qwen3-4B-Instruct-2507,length_matched,True,0.72,3,0.6,0.9,1.15,3,40,embeddings\arxiv_synthetic_text_hf_models_Qwen3-4B-Instruct-2507_n12_length_matched.json,embeddings\arxiv_synthetic_text_hf_models_Qwen3-4B-Instruct-2507_n12_length_matched.pt,307101.6666666667,77299.0,13642.0,0.0,0.0,13642.0,0.0,8.229166666666666,1.8239104434032816,0.575,0.7604166666666666,0.0,0.0,0.5795729690094047
ogbn-arxiv-full,MLP (Raw),0.95,0.5041389862696329,0.002708858578890579,3,0.0,10,0.0,none,0.0,0,12,hf,models/Qwen3-4B-Instruct-2507,length_matched,True,0.72,3,0.6,0.9,1.15,3,40,embeddings\arxiv_synthetic_text_hf_models_Qwen3-4B-Instruct-2507_n12_length_matched.json,embeddings\arxiv_synthetic_text_hf_models_Qwen3-4B-Instruct-2507_n12_length_matched.pt,242254.66666666666,86393.0,4548.0,0.0,0.0,4548.0,0.0,8.229166666666666,1.8239104434032816,0.575,0.7604166666666666,0.0,0.0,0.5795729690094047
ogbn-arxiv-full,MLP (LLM),0.75,0.5955256621042887,0.004026384672718368,3,0.0,10,0.0,none,0.0,0,12,hf,models/Qwen3-4B-Instruct-2507,length_matched,True,0.72,3,0.6,0.9,1.15,3,40,embeddings\arxiv_synthetic_text_hf_models_Qwen3-4B-Instruct-2507_n12_length_matched.json,embeddings\arxiv_synthetic_text_hf_models_Qwen3-4B-Instruct-2507_n12_length_matched.pt,382172.0,68205.0,22736.0,0.0,0.0,22736.0,0.0,8.229166666666666,1.8239104434032816,0.575,0.7604166666666666,0.0,0.0,0.5795729690094047
ogbn-arxiv-full,MLP (LLM),0.85,0.5849364598592123,0.003767562708838434,3,0.0,10,0.0,none,0.0,0,12,hf,models/Qwen3-4B-Instruct-2507,length_matched,True,0.72,3,0.6,0.9,1.15,3,40,embeddings\arxiv_synthetic_text_hf_models_Qwen3-4B-Instruct-2507_n12_length_matched.json,embeddings\arxiv_synthetic_text_hf_models_Qwen3-4B-Instruct-2507_n12_length_matched.pt,307101.6666666667,77299.0,13642.0,0.0,0.0,13642.0,0.0,8.229166666666666,1.8239104434032816,0.575,0.7604166666666666,0.0,0.0,0.5795729690094047
ogbn-arxiv-full,MLP (LLM),0.95,0.5593756238619486,0.0040332526817078735,3,0.0,10,0.0,none,0.0,0,12,hf,models/Qwen3-4B-Instruct-2507,length_matched,True,0.72,3,0.6,0.9,1.15,3,40,embeddings\arxiv_synthetic_text_hf_models_Qwen3-4B-Instruct-2507_n12_length_matched.json,embeddings\arxiv_synthetic_text_hf_models_Qwen3-4B-Instruct-2507_n12_length_matched.pt,242254.66666666666,86393.0,4548.0,0.0,0.0,4548.0,0.0,8.229166666666666,1.8239104434032816,0.575,0.7604166666666666,0.0,0.0,0.5795729690094047
ogbn-arxiv-full,"GCN (Raw, Sparse)",0.75,0.5236508250236511,0.0021532141441811493,3,0.0,10,0.0,none,0.0,0,12,hf,models/Qwen3-4B-Instruct-2507,length_matched,True,0.72,3,0.6,0.9,1.15,3,40,embeddings\arxiv_synthetic_text_hf_models_Qwen3-4B-Instruct-2507_n12_length_matched.json,embeddings\arxiv_synthetic_text_hf_models_Qwen3-4B-Instruct-2507_n12_length_matched.pt,382172.0,68205.0,22736.0,0.0,0.0,22736.0,0.0,8.229166666666666,1.8239104434032816,0.575,0.7604166666666666,0.0,0.0,0.5795729690094047
ogbn-arxiv-full,"GCN (Raw, Sparse)",0.85,0.5219156742095947,0.002139861335629242,3,0.0,10,0.0,none,0.0,0,12,hf,models/Qwen3-4B-Instruct-2507,length_matched,True,0.72,3,0.6,0.9,1.15,3,40,embeddings\arxiv_synthetic_text_hf_models_Qwen3-4B-Instruct-2507_n12_length_matched.json,embeddings\arxiv_synthetic_text_hf_models_Qwen3-4B-Instruct-2507_n12_length_matched.pt,307101.6666666667,77299.0,13642.0,0.0,0.0,13642.0,0.0,8.229166666666666,1.8239104434032816,0.575,0.7604166666666666,0.0,0.0,0.5795729690094047
ogbn-arxiv-full,"GCN (Raw, Sparse)",0.95,0.5035423139731089,0.010139052033983475,3,0.0,10,0.0,none,0.0,0,12,hf,models/Qwen3-4B-Instruct-2507,length_matched,True,0.72,3,0.6,0.9,1.15,3,40,embeddings\arxiv_synthetic_text_hf_models_Qwen3-4B-Instruct-2507_n12_length_matched.json,embeddings\arxiv_synthetic_text_hf_models_Qwen3-4B-Instruct-2507_n12_length_matched.pt,242254.66666666666,86393.0,4548.0,0.0,0.0,4548.0,0.0,8.229166666666666,1.8239104434032816,0.575,0.7604166666666666,0.0,0.0,0.5795729690094047
ogbn-arxiv-full,"GCN (LLM, Sparse)",0.75,0.5847307244936625,0.0010835814057738493,3,0.0,10,0.0,none,0.0,0,12,hf,models/Qwen3-4B-Instruct-2507,length_matched,True,0.72,3,0.6,0.9,1.15,3,40,embeddings\arxiv_synthetic_text_hf_models_Qwen3-4B-Instruct-2507_n12_length_matched.json,embeddings\arxiv_synthetic_text_hf_models_Qwen3-4B-Instruct-2507_n12_length_matched.pt,382172.0,68205.0,22736.0,0.0,0.0,22736.0,0.0,8.229166666666666,1.8239104434032816,0.575,0.7604166666666666,0.0,0.0,0.5795729690094047
